location,id,timezone
Abilene,2762144,America/Chicago
Amarillo,2762143,America/Chicago
Asheville,2762164,America/New_York
Austin,2762148,America/Chicago
Byron,2762160,America/New_York
Cartersville,2762162,America/New_York
Chattanooga,2762165,America/New_York
Conyers,3516042,America/New_York
El Paso,2546121,America/Denver
Laredo,4631770,America/Chicago
Lawrenceville,2762163,America/New_York
Lubbock,2762142,America/Chicago
Midland,2568656,America/Chicago
North Austin,2762149,America/Chicago
San Angelo,2762145,America/Chicago
Westpark,2762161,America/New_York
